slaves,Inform/Explore,162
started,Inform/Explore,111
jamestown,Inform/Explore,3
1619,Inform/Explore,4
first,Inform/Explore,397
ship,Inform/Explore,6
ever,Inform/Explore,97
carrying,Inform/Explore,9
arrived,Inform/Explore,7
class,Inform/Explore,163
lecture,Inform/Explore,26
even,Inform/Explore,649
though,Inform/Explore,224
did,Inform/Explore,532
arrive,Inform/Explore,12
until,Inform/Explore,99
latter,Inform/Explore,1
half,Inform/Explore,25
1600s,Inform/Explore,9
plantation,Inform/Explore,45
owners,Inform/Explore,70
began,Inform/Explore,84
purchase,Inform/Explore,12
large,Inform/Explore,69
numbers,Inform/Explore,16
seemed,Inform/Explore,69
1630s,Inform/Explore,1
1690s,Inform/Explore,1
laws,Inform/Explore,113
changed,Inform/Explore,77
made,Inform/Explore,359
understand,Inform/Explore,200
people,Inform/Explore,1660
anymore,Inform/Explore,24
property,Inform/Explore,38
ownersmasters,Inform/Explore,1
power,Inform/Explore,141
wanted,Inform/Explore,173
these,Inform/Explore,826
let,Inform/Explore,100
them,Inform/Explore,1273
treat,Inform/Explore,40
laborers,Inform/Explore,3
over,Inform/Explore,318
limit,Inform/Explore,10
give,Inform/Explore,256
white,Inform/Explore,257
male,Inform/Explore,88
owner,Inform/Explore,29
more,Inform/Explore,1240
interracial,Inform/Explore,2
relationships,Inform/Explore,129
major,Inform/Explore,97
end,Inform/Explore,210
1630,Inform/Explore,4
really,Inform/Explore,275
became,Inform/Explore,106
thing,Inform/Explore,169
didnt,Inform/Explore,153
want,Inform/Explore,295
happen,Inform/Explore,106
friday,Inform/Explore,53
discussion,Inform/Explore,45
september,Inform/Explore,34
law,Inform/Explore,161
stop,Inform/Explore,108
relations,Inform/Explore,15
man,Inform/Explore,211
hugh,Inform/Explore,2
davis,Inform/Explore,15
caught,Inform/Explore,21
laying,Inform/Explore,5
black,Inform/Explore,202
person,Inform/Explore,412
whipped,Inform/Explore,8
confess,Inform/Explore,1
front,Inform/Explore,38
entire,Inform/Explore,59
church,Inform/Explore,142
race,Inform/Explore,114
felt,Inform/Explore,190
dishonor,Inform/Explore,1
god,Inform/Explore,170
shame,Inform/Explore,12
christians,Inform/Explore,19
working,Inform/Explore,69
new,Inform/Explore,338
keep,Inform/Explore,138
happening,Inform/Explore,80
december,Inform/Explore,6
1662,Inform/Explore,3
child,Inform/Explore,264
born,Inform/Explore,44
slave,Inform/Explore,111
mother,Inform/Explore,356
well,Inform/Explore,389
men,Inform/Explore,296
children,Inform/Explore,445
saw,Inform/Explore,59
opportunity,Inform/Explore,69
workers,Inform/Explore,35
money,Inform/Explore,187
brought,Inform/Explore,129
virgins,Inform/Explore,3
actually,Inform/Explore,105
trying,Inform/Explore,226
find,Inform/Explore,175
resist,Inform/Explore,5
masters,Inform/Explore,29
authority,Inform/Explore,22
found,Inform/Explore,207
some,Inform/Explore,616
without,Inform/Explore,223
being,Inform/Explore,1007
nonviolent,Inform/Explore,20
such,Inform/Explore,458
burning,Inform/Explore,10
crops,Inform/Explore,11
burn,Inform/Explore,10
barns,Inform/Explore,3
refuse,Inform/Explore,16
work,Inform/Explore,461
another,Inform/Explore,403
option,Inform/Explore,22
simply,Inform/Explore,101
runaway,Inform/Explore,3
but,Inform/Explore,1666
imply,Inform/Explore,4
run,Inform/Explore,34
several,Inform/Explore,71
set,Inform/Explore,95
october,Inform/Explore,13
1669,Inform/Explore,12
said,Inform/Explore,311
resists,Inform/Explore,3
orders,Inform/Explore,22
corrected,Inform/Explore,1
master,Inform/Explore,30
kill,Inform/Explore,58
charged,Inform/Explore,17
anything,Inform/Explore,132
right,Inform/Explore,208
please,Inform/Explore,22
june,Inform/Explore,26
1680,Inform/Explore,4
up,Inform/Explore,849
again,Inform/Explore,99
resistance,Inform/Explore,12
punishable,Inform/Explore,4
death,Inform/Explore,184
1691,Inform/Explore,12
obeying,Inform/Explore,3
someone,Inform/Explore,283
show,Inform/Explore,345
nothing,Inform/Explore,132
same,Inform/Explore,372
rights,Inform/Explore,170
whites,Inform/Explore,39
told,Inform/Explore,112
exactly,Inform/Explore,48
couldnt,Inform/Explore,29
wasnt,Inform/Explore,69
much,Inform/Explore,414
get,Inform/Explore,585
help,Inform/Explore,345
helped,Inform/Explore,79
would,Inform/Explore,931
serve,Inform/Explore,35
absent,Inform/Explore,4
making,Inform/Explore,220
pretty,Inform/Explore,54
impossible,Inform/Explore,20
save,Inform/Explore,51
becoming,Inform/Explore,63
baptized,Inform/Explore,5
1667,Inform/Explore,2
still,Inform/Explore,452
considered,Inform/Explore,119
tried,Inform/Explore,32
gathering,Inform/Explore,9
weapon,Inform/Explore,35
killed,Inform/Explore,56
realize,Inform/Explore,65
freedoms,Inform/Explore,9
at,Inform/Explore,1227
limitations,Inform/Explore,7
everything,Inform/Explore,138
knew,Inform/Explore,105
worked,Inform/Explore,38
together,Inform/Explore,123
got,Inform/Explore,121
others,Inform/Explore,261
soon,Inform/Explore,61
enough,Inform/Explore,132
world,Inform/Explore,417
while,Inform/Explore,498
treated,Inform/Explore,116
live,Inform/Explore,166
rhetorical,Inform/Explore,252
letter,Inform/Explore,213
my,Inform/Explore,760
daughter,Inform/Explore,251
maya,Inform/Explore,388
angelous,Inform/Explore,211
offers,Inform/Explore,41
strategies,Inform/Explore,108
message,Inform/Explore,191
across,Inform/Explore,96
reader,Inform/Explore,329
most,Inform/Explore,542
powerful,Inform/Explore,84
strategy,Inform/Explore,60
choice,Inform/Explore,143
wording,Inform/Explore,6
manner,Inform/Explore,30
dialect,Inform/Explore,13
fits,Inform/Explore,6
directly,Inform/Explore,44
fine,Inform/Explore,29
line,Inform/Explore,64
bore,Inform/Explore,1
vague,Inform/Explore,4
sentences,Inform/Explore,23
too,Inform/Explore,186
colorful,Inform/Explore,9
its,Inform/Explore,595
mix,Inform/Explore,21
realism,Inform/Explore,2
mannerism,Inform/Explore,1
inputs,Inform/Explore,3
images,Inform/Explore,18
readers,Inform/Explore,325
head,Inform/Explore,48
once,Inform/Explore,137
story,Inform/Explore,374
correct,Inform/Explore,35
speech,Inform/Explore,137
text,Inform/Explore,111
guide,Inform/Explore,32
audience,Inform/Explore,657
instilling,Inform/Explore,1
go,Inform/Explore,332
along,Inform/Explore,102
plot,Inform/Explore,64
aforementioned,Inform/Explore,3
storyletter,Inform/Explore,1
gives,Inform/Explore,173
view,Inform/Explore,153
young,Inform/Explore,226
woman,Inform/Explore,203
faces,Inform/Explore,20
instances,Inform/Explore,20
journeys,Inform/Explore,1
youngster,Inform/Explore,1
mature,Inform/Explore,33
according,Inform/Explore,229
article,Inform/Explore,417
characteristics,Inform/Explore,52
imagery,Inform/Explore,148
reported,Inform/Explore,47
reading,Inform/Explore,183
,Inform/Explore,1135
varying,Inform/Explore,5
degrees,Inform/Explore,7
imaginal,Inform/Explore,1
skill,Inform/Explore,15
affect,Inform/Explore,124
usefulness,Inform/Explore,1
instructions,Inform/Explore,4
we,Inform/Explore,998
need,Inform/Explore,257
include,Inform/Explore,65
estimate,Inform/Explore,1
skills,Inform/Explore,42
future,Inform/Explore,151
studies,Inform/Explore,101
produced,Inform/Explore,14
bridge,Inform/Explore,7
et,Inform/Explore,113
al,Inform/Explore,115
18,Inform/Explore,646
vary,Inform/Explore,7
depending,Inform/Explore,27
receive,Inform/Explore,52
impacted,Inform/Explore,20
greatly,Inform/Explore,18
minimum,Inform/Explore,13
case,Inform/Explore,113
she,Inform/Explore,2896
inserts,Inform/Explore,1
poetry,Inform/Explore,85
example,Inform/Explore,365
eighth,Inform/Explore,3
paragraph,Inform/Explore,47
angelou,Inform/Explore,929
describes,Inform/Explore,101
home,Inform/Explore,364
youthful,Inform/Explore,7
region,Inform/Explore,10
where,Inform/Explore,446
only,Inform/Explore,639
real,Inform/Explore,114
living,Inform/Explore,149
inhabitant,Inform/Explore,3
parents,Inform/Explore,176
siblings,Inform/Explore,7
neighbors,Inform/Explore,8
mysterious,Inform/Explore,12
apparitions,Inform/Explore,8
come,Inform/Explore,187
strange,Inform/Explore,13
unfathomable,Inform/Explore,6
around,Inform/Explore,261
regions,Inform/Explore,4
enfranchised,Inform/Explore,5
citizen,Inform/Explore,14
me,Inform/Explore,305
has,Inform/Explore,1082
poetic,Inform/Explore,8
value,Inform/Explore,101
taps,Inform/Explore,2
i,Inform/Explore,1571
develop,Inform/Explore,42
picture,Inform/Explore,118
scene,Inform/Explore,49
described,Inform/Explore,47
furthers,Inform/Explore,4
interest,Inform/Explore,54
read,Inform/Explore,144
part,Inform/Explore,172
carefully,Inform/Explore,9
picked,Inform/Explore,13
apart,Inform/Explore,31
word,Inform/Explore,203
truly,Inform/Explore,58
peace,Inform/Explore,83
comfort,Inform/Explore,20
us,Inform/Explore,471
remember,Inform/Explore,37
mean,Inform/Explore,70
spirits,Inform/Explore,2
ghosts,Inform/Explore,3
means,Inform/Explore,117
sentence,Inform/Explore,31
whole,Inform/Explore,96
innocent,Inform/Explore,32
minded,Inform/Explore,9
family,Inform/Explore,600
friends,Inform/Explore,75
alike,Inform/Explore,16
good,Inform/Explore,381
thats,Inform/Explore,97
vulnerable,Inform/Explore,14
explains,Inform/Explore,140
innocence,Inform/Explore,10
opposite,Inform/Explore,20
applies,Inform/Explore,6
prone,Inform/Explore,4
terrors,Inform/Explore,3
dangers,Inform/Explore,3
brings,Inform/Explore,75
drugs,Inform/Explore,23
drunkenness,Inform/Explore,1
profanity,Inform/Explore,1
shes,Inform/Explore,28
talking,Inform/Explore,100
flawed,Inform/Explore,5
copies,Inform/Explore,2
former,Inform/Explore,21
selves,Inform/Explore,9
gone,Inform/Explore,36
like,Inform/Explore,801
back,Inform/Explore,301
perform,Inform/Explore,16
terrible,Inform/Explore,17
knows,Inform/Explore,55
